#Text=Über Bord gegangen ist damit die allgemeine Erklärung der Menschenrechte , nicht als unmittelbar praktikable Vorstellung , die sie im übrigen nie war , sondern sogar als Ideal - ohne die jedoch die vollentwickelte Apartheid weltweit der einzig logische Schluß sein kann : eine Vorstellung , die Khomeini bestimmt freudig begrüßen würde .
1-1	0-4	Über	*->1-1	non-literal-mwe[1]	
183-21	97517-97520	vom	_	_	
183-22	97521-97533	Arbeitskreis	_	_	
183-23	97534-97535	.	_	_	

#Text=Die Fracht ging vor der niederländischen Küste über Bord und sank auf Grund .
185-1	98350-98353	Die	_	_	
185-2	98354-98360	Fracht	_	_	
185-3	98361-98365	ging	*->93-1	non-literal[93]	
185-4	98366-98369	vor	_	_	
185-5	98370-98373	der	_	_	
185-6	98374-98390	niederländischen	_	_	
185-7	98391-98396	Küste	_	_	
185-8	98397-98401	über	*->93-2	*[93]	
185-9	98402-98406	Bord	*->93-3	*[93]	
185-10	98407-98410	und	_	_	
185-11	98411-98415	sank	_	_	
185-12	98416-98419	auf	_	_	
185-13	98420-98425	Grund	_	_	
185-14	98426-98427	.	_	_	

#Text=Vierzig Fässer seien über Bord gegangen ; die restlichen , an Bord gebliebenen , seien in Goole geborgen worden .
187-1	98948-98955	Vierzig	_	_	
187-2	98956-98962	Fässer	_	_	
187-3	98963-98968	seien	_	_	
187-4	98969-98973	über	*->94-1	non-literal[94]	
187-5	98974-98978	Bord	*->94-2	*[94]	
187-6	98979-98987	gegangen	*->94-3	*[94]	
187-7	98988-98989	;	_	_	
187-8	98990-98993	die	_	_	
187-9	98994-99004	restlichen	_	_	
187-10	99005-99006	,	_	_	
187-11	99007-99009	an	_	_	
187-12	99010-99014	Bord	_	_	
187-13	99015-99026	gebliebenen	_	_	
187-14	99027-99028	,	_	_	
187-15	99029-99034	seien	_	_	
187-16	99035-99037	in	_	_	
187-17	99038-99043	Goole	_	_	
187-18	99044-99052	geborgen	_	_	
187-19	99053-99059	worden	_	_	
187-20	99060-99061	.	_	_	

#Text=Da wird einiges Wir-Gefühl über Bord gehen .
189-1	100027-100029	Da	_	_	
189-2	100030-100034	wird	_	_	
189-3	100035-100042	einiges	_	_	
189-4	100043-100053	Wir-Gefühl	_	_	
189-5	100054-100058	über	*->95-1	non-literal-mwe[95]	
189-6	100059-100063	Bord	*->95-2	*[95]	
189-7	100064-100069	gehen	*->95-3	*[95]	
189-8	100070-100071	.	_	_	

#Text=Gemeinsam improvisatorisch erarbeitet , entstand eine vollständig entzauberte Fassung des Stoffes , in welcher zusammen mit den Mythen leider auch die Spannung über Bord ging .
193-1	101388-101397	Gemeinsam	_	_	
193-2	101398-101414	improvisatorisch	_	_	
193-3	101415-101425	erarbeitet	_	_	
193-4	101426-101427	,	_	_	
193-5	101428-101436	entstand	_	_	
193-6	101437-101441	eine	_	_	
193-7	101442-101453	vollständig	_	_	
193-8	101454-101465	entzauberte	_	_	
193-9	101466-101473	Fassung	_	_	
193-10	101474-101477	des	_	_	
193-11	101478-101485	Stoffes	_	_	
193-12	101486-101487	,	_	_	
193-13	101488-101490	in	_	_	
193-14	101491-101498	welcher	_	_	
193-15	101499-101507	zusammen	_	_	
193-16	101508-101511	mit	_	_	
193-17	101512-101515	den	_	_	
193-18	101516-101522	Mythen	_	_	
193-19	101523-101529	leider	_	_	
193-20	101530-101534	auch	_	_	
193-21	101535-101538	die	_	_	
193-22	101539-101547	Spannung	_	_	
193-23	101548-101552	über	*->97-1	non-literal-mwe[97]	
193-24	101553-101557	Bord	*->97-2	*[97]	
193-25	101558-101562	ging	*->97-3	*[97]	
193-26	101563-101564	.	_	_	

#Text=Cuxhaven ( dpa ) - Das deutsche Ölbekämpfungsschiff Scharhörn hat sieben vom norwegischen Frachter Marine Trader über Bord gegangene Chemiecontainer geborgen .
195-1	102600-102608	Cuxhaven	_	_	
195-2	102609-102610	(	_	_	
195-3	102611-102614	dpa	_	_	
195-4	102615-102616	)	_	_	
195-5	102617-102618	-	_	_	
195-6	102619-102622	Das	_	_	
195-7	102623-102631	deutsche	_	_	
195-8	102632-102651	Ölbekämpfungsschiff	_	_	
195-9	102652-102661	Scharhörn	_	_	
195-10	102662-102665	hat	_	_	
195-11	102666-102672	sieben	_	_	
195-12	102673-102676	vom	_	_	
195-13	102677-102689	norwegischen	_	_	
195-14	102690-102698	Frachter	_	_	
195-15	102699-102705	Marine	_	_	
195-16	102706-102712	Trader	_	_	
195-17	102713-102717	über	*->98-1	non-literal[98]	
195-18	102718-102722	Bord	*->98-2	*[98]	
195-19	102723-102732	gegangene	_	_	
195-20	102733-102748	Chemiecontainer	_	_	
195-21	102749-102757	geborgen	*->98-3	*[98]	
195-22	102758-102759	.	_	_	

#Text=Bei Schiffsunfällen und dem illegalen Auswaschen der Treibstofftanks auf dem Meer gehen jährlich zwischen 15.000 und 20.000 Tonnen über Bord , durch Flüsse und direkte Einleitung von Industrieunternehmen an der Küste wälzen sich weitere 23.000 bis 65.000 Tonnen in die Nordsee .
199-1	104593-104596	Bei	_	_	
199-2	104597-104612	Schiffsunfällen	_	_	
199-3	104613-104616	und	_	_	
199-4	104617-104620	dem	_	_	
199-5	104621-104630	illegalen	_	_	
199-6	104631-104641	Auswaschen	_	_	
199-7	104642-104645	der	_	_	
199-8	104646-104661	Treibstofftanks	_	_	
199-9	104662-104665	auf	_	_	
199-10	104666-104669	dem	_	_	
199-11	104670-104674	Meer	_	_	
199-12	104675-104680	gehen	*->100-1	non-literal[100]	
199-13	104681-104689	jährlich	_	_	
199-14	104690-104698	zwischen	_	_	
199-15	104699-104705	15.000	_	_	
199-16	104706-104709	und	_	_	
199-17	104710-104716	20.000	_	_	
199-18	104717-104723	Tonnen	_	_	
199-19	104724-104728	über	*->100-2	*[100]	
199-20	104729-104733	Bord	*->100-3	*[100]	
199-21	104734-104735	,	_	_	
199-22	104736-104741	durch	_	_	
199-23	104742-104748	Flüsse	_	_	
199-24	104749-104752	und	_	_	
199-25	104753-104760	direkte	_	_	
199-26	104761-104771	Einleitung	_	_	
199-27	104772-104775	von	_	_	
199-28	104776-104796	Industrieunternehmen	_	_	
199-29	104797-104799	an	_	_	
199-30	104800-104803	der	_	_	
199-31	104804-104809	Küste	_	_	
199-32	104810-104816	wälzen	_	_	
199-33	104817-104821	sich	_	_	
199-34	104822-104829	weitere	_	_	
199-35	104830-104836	23.000	_	_	
199-36	104837-104840	bis	_	_	
199-37	104841-104847	65.000	_	_	
199-38	104848-104854	Tonnen	_	_	
199-39	104855-104857	in	_	_	
199-40	104858-104861	die	_	_	
199-41	104862-104869	Nordsee	_	_	
199-42	104870-104871	.	_	_	

#Text=Ein 42jähriger Segler , der bei einem Wendemanöver über Bord gegangen war , konnte nach mehreren Stunden nur noch tot geborgen werden .
201-1	105334-105337	Ein	_	_	
201-2	105338-105348	42jähriger	_	_	
201-3	105349-105355	Segler	_	_	
201-4	105356-105357	,	_	_	
201-5	105358-105361	der	_	_	
201-6	105362-105365	bei	_	_	
201-7	105366-105371	einem	_	_	
201-8	105372-105384	Wendemanöver	_	_	
201-9	105385-105389	über	*->101-1	non-literal[101]	
201-10	105390-105394	Bord	*->101-2	*[101]	
201-11	105395-105403	gegangen	*->101-3	*[101]	
201-12	105404-105407	war	_	_	
201-13	105408-105409	,	_	_	
201-14	105410-105416	konnte	_	_	
201-15	105417-105421	nach	_	_	
201-16	105422-105430	mehreren	_	_	
201-17	105431-105438	Stunden	_	_	
201-18	105439-105442	nur	_	_	
201-19	105443-105447	noch	_	_	
201-20	105448-105451	tot	_	_	
201-21	105452-105460	geborgen	_	_	
201-22	105461-105467	werden	_	_	
201-23	105468-105469	.	_	_	

#Text=Mit über Bord ging dabei auch das bis dato äußerst angesehene SFB-Magazin " Moskito " .
203-1	105916-105919	Mit	_	_	
203-2	105920-105924	über	*->102-1	non-literal-mwe[102]	
203-3	105925-105929	Bord	*->102-2	*[102]	
203-4	105930-105934	ging	*->102-3	*[102]	
203-5	105935-105940	dabei	_	_	
203-6	105941-105945	auch	_	_	
203-7	105946-105949	das	_	_	
203-8	105950-105953	bis	_	_	
203-9	105954-105958	dato	_	_	
203-10	105959-105966	äußerst	_	_	
203-11	105967-105977	angesehene	_	_	
203-12	105978-105989	SFB-Magazin	_	_	
203-13	105990-105991	"	_	_	
203-14	105992-105999	Moskito	_	_	
203-15	106000-106001	"	_	_	
203-16	106002-106003	.	_	_	

#Text=Die nicht durch Leinen gesicherte Besatzung sei über Bord gegangen .
205-1	106589-106592	Die	_	_	
205-2	106593-106598	nicht	_	_	
205-3	106599-106604	durch	_	_	
205-4	106605-106611	Leinen	_	_	
205-5	106612-106622	gesicherte	_	_	
205-6	106623-106632	Besatzung	_	_	
205-7	106633-106636	sei	_	_	
205-8	106637-106641	über	*->103-1	non-literal[103]	
205-9	106642-106646	Bord	*->103-2	*[103]	
205-10	106647-106655	gegangen	*->103-3	*[103]	
205-11	106656-106657	.	_	_	

#Text=Die Grundidee des Staates als des allgemein zu Regelnden sollte bei aller Staatskritik nicht mit über Bord gehen .
207-1	106941-106944	Die	_	_	
207-2	106945-106954	Grundidee	_	_	
207-3	106955-106958	des	_	_	
207-4	106959-106966	Staates	_	_	
207-5	106967-106970	als	_	_	
207-6	106971-106974	des	_	_	
207-7	106975-106984	allgemein	_	_	
207-8	106985-106987	zu	_	_	
207-9	106988-106997	Regelnden	_	_	
207-10	106998-107004	sollte	_	_	
207-11	107005-107008	bei	_	_	
207-12	107009-107014	aller	_	_	
207-13	107015-107027	Staatskritik	_	_	
207-14	107028-107033	nicht	_	_	
207-15	107034-107037	mit	_	_	
207-16	107038-107042	über	*->104-1	non-literal-mwe[104]	
207-17	107043-107047	Bord	*->104-2	*[104]	
207-18	107048-107053	gehen	*->104-3	*[104]	
207-19	107054-107055	.	_	_	

#Text=Bremen ( AFP ) - Auf der Rückfahrt von einer Rettungsfahrt sind zwei Besatzungsmitglieder des deutschen Seenotkreuzers " Alfried Krupp " am späten Sonntagabend bei einem Sturm auf der Nordsee über Bord gegangen .
209-1	107817-107823	Bremen	_	_	
209-2	107824-107825	(	_	_	
209-3	107826-107829	AFP	_	_	
209-4	107830-107831	)	_	_	
209-5	107832-107833	-	_	_	
209-6	107834-107837	Auf	_	_	
209-7	107838-107841	der	_	_	
209-8	107842-107851	Rückfahrt	_	_	
209-9	107852-107855	von	_	_	
209-10	107856-107861	einer	_	_	
209-11	107862-107875	Rettungsfahrt	_	_	
209-12	107876-107880	sind	_	_	
209-13	107881-107885	zwei	_	_	
209-14	107886-107906	Besatzungsmitglieder	_	_	
209-15	107907-107910	des	_	_	
209-16	107911-107920	deutschen	_	_	
209-17	107921-107935	Seenotkreuzers	_	_	
209-18	107936-107937	"	_	_	
209-19	107938-107945	Alfried	_	_	
209-20	107946-107951	Krupp	_	_	
209-21	107952-107953	"	_	_	
209-22	107954-107956	am	_	_	
209-23	107957-107963	späten	_	_	
209-24	107964-107976	Sonntagabend	_	_	
209-25	107977-107980	bei	_	_	
209-26	107981-107986	einem	_	_	
209-27	107987-107992	Sturm	_	_	
209-28	107993-107996	auf	_	_	
209-29	107997-108000	der	_	_	
209-30	108001-108008	Nordsee	_	_	
209-31	108009-108013	über	*->105-1	non-literal-mwe[105]	
209-32	108014-108018	Bord	*->105-2	*[105]	
209-33	108019-108027	gegangen	*->105-3	*[105]	
209-34	108028-108029	.	_	_	

#Text=Der deutsche Seenotkreuzer hatte sich an der Rettung eines niederländischen Seemannes beteiligt , der bei schwerem Wetter über Bord gegangen war .
211-1	108726-108729	Der	_	_	
211-2	108730-108738	deutsche	_	_	
211-3	108739-108752	Seenotkreuzer	_	_	
211-4	108753-108758	hatte	_	_	
211-5	108759-108763	sich	_	_	
211-6	108764-108766	an	_	_	
211-7	108767-108770	der	_	_	
211-8	108771-108778	Rettung	_	_	
211-9	108779-108784	eines	_	_	
211-10	108785-108801	niederländischen	_	_	
211-11	108802-108811	Seemannes	_	_	
211-12	108812-108821	beteiligt	_	_	
211-13	108822-108823	,	_	_	
211-14	108824-108827	der	_	_	
211-15	108828-108831	bei	_	_	
211-16	108832-108840	schwerem	_	_	
211-17	108841-108847	Wetter	_	_	
211-18	108848-108852	über	*->106-1	non-literal[106]	
211-19	108853-108857	Bord	*->106-2	*[106]	
211-20	108858-108866	gegangen	*->106-3	*[106]	
211-21	108867-108870	war	_	_	
211-22	108871-108872	.	_	_	

#Text=Der Seenotkreuzer " Alfried Krupp " war ausgelaufen , um dem niederländischen Seenotkreuzer bei der Suche nach dem über Bord gegangenen Rettungsmann zu helfen .
213-1	109569-109572	Der	_	_	
213-2	109573-109586	Seenotkreuzer	_	_	
213-3	109587-109588	"	_	_	
213-4	109589-109596	Alfried	_	_	
213-5	109597-109602	Krupp	_	_	
213-6	109603-109604	"	_	_	
213-7	109605-109608	war	_	_	
213-8	109609-109620	ausgelaufen	_	_	
213-9	109621-109622	,	_	_	
213-10	109623-109625	um	_	_	
213-11	109626-109629	dem	_	_	
213-12	109630-109646	niederländischen	_	_	
213-13	109647-109660	Seenotkreuzer	_	_	
213-14	109661-109664	bei	_	_	
213-15	109665-109668	der	_	_	
213-16	109669-109674	Suche	_	_	
213-17	109675-109679	nach	_	_	
213-18	109680-109683	dem	_	_	
213-19	109684-109688	über	*->107-1	non-literal[107]	
213-20	109689-109693	Bord	*->107-2	*[107]	
213-21	109694-109704	gegangenen	_	_	
213-22	109705-109717	Rettungsmann	_	_	
213-23	109718-109720	zu	_	_	
213-24	109721-109727	helfen	*->107-3	*[107]	
213-25	109728-109729	.	_	_	

#Text=" Letztes Jahr hatten wir noch - ne echte Tanne , aber die ist nach Weihnachten mit den Kugeln über Bord gegangen , weil keiner sie abschmücken wollte " , erzählt der Käpt'n .
215-1	110129-110130	"	_	_	
215-2	110131-110138	Letztes	_	_	
215-3	110139-110143	Jahr	_	_	
215-4	110144-110150	hatten	_	_	
215-5	110151-110154	wir	_	_	
215-6	110155-110159	noch	_	_	
215-7	110160-110161	-	_	_	
215-8	110162-110164	ne	_	_	
215-9	110165-110170	echte	_	_	
215-10	110171-110176	Tanne	_	_	
215-11	110177-110178	,	_	_	
215-12	110179-110183	aber	_	_	
215-13	110184-110187	die	_	_	
215-14	110188-110191	ist	_	_	
215-15	110192-110196	nach	_	_	
215-16	110197-110208	Weihnachten	_	_	
215-17	110209-110212	mit	_	_	
215-18	110213-110216	den	_	_	
215-19	110217-110223	Kugeln	_	_	
215-20	110224-110228	über	*->108-1	non-literal[108]	
215-21	110229-110233	Bord	*->108-2	*[108]	
215-22	110234-110242	gegangen	*->108-3	*[108]	
215-23	110243-110244	,	_	_	
215-24	110245-110249	weil	_	_	
215-25	110250-110256	keiner	_	_	
215-26	110257-110260	sie	_	_	
215-27	110261-110272	abschmücken	_	_	
215-28	110273-110279	wollte	_	_	
215-29	110280-110281	"	_	_	
215-30	110282-110283	,	_	_	
215-31	110284-110291	erzählt	_	_	
215-32	110292-110295	der	_	_	
215-33	110296-110302	Käpt'n	_	_	
215-34	110303-110304	.	_	_	

#Text=" Grüne Essentials zum Paragraph 218 gehen über Bord "
217-1	110782-110783	"	_	_	
217-2	110784-110789	Grüne	_	_	
217-3	110790-110800	Essentials	_	_	
217-4	110801-110804	zum	_	_	
217-5	110805-110814	Paragraph	_	_	
217-6	110815-110818	218	_	_	
217-7	110819-110824	gehen	*->109-1	non-literal-mwe[109]	
217-8	110825-110829	über	*->109-2	*[109]	
217-9	110830-110834	Bord	*->109-3	*[109]	
217-10	110835-110836	"	_	_	

#Text=Bei diesem Durchkentern , das gilt der DGzRS inzwischen als sicher , ging der erste Mann über Bord : Der Maschinist , der sich gerade auf dem Weg unter Deck befand , weil ein Maschinenschaden gemeldet worden war , wurde vom Wasser vom Achterdeck gerissen .
219-1	110888-110891	Bei	_	_	
219-2	110892-110898	diesem	_	_	
219-3	110899-110911	Durchkentern	_	_	
219-4	110912-110913	,	_	_	
219-5	110914-110917	das	_	_	
219-6	110918-110922	gilt	_	_	
219-7	110923-110926	der	_	_	
219-8	110927-110932	DGzRS	_	_	
219-9	110933-110943	inzwischen	_	_	
219-10	110944-110947	als	_	_	
219-11	110948-110954	sicher	_	_	
219-12	110955-110956	,	_	_	
219-13	110957-110961	ging	*->110-1	non-literal[110]	
219-14	110962-110965	der	_	_	
219-15	110966-110971	erste	_	_	
219-16	110972-110976	Mann	_	_	
219-17	110977-110981	über	*->110-2	*[110]	
219-18	110982-110986	Bord	*->110-3	*[110]	
219-19	110987-110988	:	_	_	
219-20	110989-110992	Der	_	_	
219-21	110993-111003	Maschinist	_	_	
219-22	111004-111005	,	_	_	
219-23	111006-111009	der	_	_	
219-24	111010-111014	sich	_	_	
219-25	111015-111021	gerade	_	_	
219-26	111022-111025	auf	_	_	
219-27	111026-111029	dem	_	_	
219-28	111030-111033	Weg	_	_	
219-29	111034-111039	unter	_	_	
219-30	111040-111044	Deck	_	_	
219-31	111045-111051	befand	_	_	
219-32	111052-111053	,	_	_	
219-33	111054-111058	weil	_	_	
219-34	111059-111062	ein	_	_	
219-35	111063-111079	Maschinenschaden	_	_	
219-36	111080-111088	gemeldet	_	_	
219-37	111089-111095	worden	_	_	
219-38	111096-111099	war	_	_	
219-39	111100-111101	,	_	_	
219-40	111102-111107	wurde	_	_	
219-41	111108-111111	vom	_	_	
219-42	111112-111118	Wasser	_	_	
219-43	111119-111122	vom	_	_	
219-44	111123-111133	Achterdeck	_	_	
219-45	111134-111142	gerissen	_	_	
219-46	111143-111144	.	_	_	

#Text=Oder irgendeines Ansehens des Westens , weil das in Bosnien-Herzegowina längst über Bord gegangen ist .
221-1	111605-111609	Oder	_	_	
221-2	111610-111621	irgendeines	_	_	
221-3	111622-111630	Ansehens	_	_	
221-4	111631-111634	des	_	_	
221-5	111635-111642	Westens	_	_	
221-6	111643-111644	,	_	_	
221-7	111645-111649	weil	_	_	
221-8	111650-111653	das	_	_	
221-9	111654-111656	in	_	_	
221-10	111657-111676	Bosnien-Herzegowina	_	_	
221-11	111677-111683	längst	_	_	
221-12	111684-111688	über	*->111-1	non-literal-mwe[111]	
221-13	111689-111693	Bord	*->111-2	*[111]	
221-14	111694-111702	gegangen	*->111-3	*[111]	
221-15	111703-111706	ist	_	_	
221-16	111707-111708	.	_	_	

#Text=Schön werden sie es haben : Es gibt nicht genügend Betten , und der Seegang ist so hoch , daß so mancher Mageninhalt schon über Bord gegangen ist .
223-1	112260-112265	Schön	_	_	
223-2	112266-112272	werden	_	_	
223-3	112273-112276	sie	_	_	
223-4	112277-112279	es	_	_	
223-5	112280-112285	haben	_	_	
223-6	112286-112287	:	_	_	
223-7	112288-112290	Es	_	_	
223-8	112291-112295	gibt	_	_	
223-9	112296-112301	nicht	_	_	
223-10	112302-112310	genügend	_	_	
223-11	112311-112317	Betten	_	_	
223-12	112318-112319	,	_	_	
223-13	112320-112323	und	_	_	
223-14	112324-112327	der	_	_	
223-15	112328-112335	Seegang	_	_	
223-16	112336-112339	ist	_	_	
223-17	112340-112342	so	_	_	
223-18	112343-112347	hoch	_	_	
223-19	112348-112349	,	_	_	
223-20	112350-112353	daß	_	_	
223-21	112354-112356	so	_	_	
223-22	112357-112364	mancher	_	_	
223-23	112365-112376	Mageninhalt	_	_	
223-24	112377-112382	schon	_	_	
223-25	112383-112387	über	*->112-1	non-literal[112]	
223-26	112388-112392	Bord	*->112-2	*[112]	
223-27	112393-112401	gegangen	*->112-3	*[112]	
223-28	112402-112405	ist	_	_	
223-29	112406-112407	.	_	_	

#Text=Der Kapitän mußte immer aufpassen , daß ich dabei nicht über Bord ging .
225-1	112969-112972	Der	_	_	
225-2	112973-112980	Kapitän	_	_	
225-3	112981-112986	mußte	_	_	
225-4	112987-112992	immer	_	_	
225-5	112993-113002	aufpassen	_	_	
225-6	113003-113004	,	_	_	
225-7	113005-113008	daß	_	_	
225-8	113009-113012	ich	_	_	
225-9	113013-113018	dabei	_	_	
225-10	113019-113024	nicht	_	_	
225-11	113025-113029	über	*->113-1	non-literal[113]	
225-12	113030-113034	Bord	*->113-2	*[113]	
225-13	113035-113039	ging	*->113-3	*[113]	
225-14	113040-113041	.	_	_	

#Text=Vermutet wird , daß das Kokain zwischen Helgoland und St. Peter-Ording über Bord gegangen ist .
227-1	113282-113290	Vermutet	_	_	
227-2	113291-113295	wird	_	_	
227-3	113296-113297	,	_	_	
227-4	113298-113301	daß	_	_	
227-5	113302-113305	das	_	_	
227-6	113306-113312	Kokain	_	_	
227-7	113313-113321	zwischen	_	_	
227-8	113322-113331	Helgoland	_	_	
227-9	113332-113335	und	_	_	
227-10	113336-113339	St.	_	_	
227-11	113340-113352	Peter-Ording	_	_	
227-12	113353-113357	über	*->114-1	non-literal[114]	
227-13	113358-113362	Bord	*->114-2	*[114]	
227-14	113363-113371	gegangen	*->114-3	*[114]	
227-15	113372-113375	ist	_	_	
227-16	113376-113377	.	_	_	

#Text=Für den Fall , daß Mindeststandards über Bord gehen , haben einige Parlamentarier schon damit gedroht , die Wasserrahmenrichtlinie platzen zu lassen .
229-1	113828-113831	Für	_	_	
229-2	113832-113835	den	_	_	
229-3	113836-113840	Fall	_	_	
229-4	113841-113842	,	_	_	
229-5	113843-113846	daß	_	_	
229-6	113847-113863	Mindeststandards	_	_	
229-7	113864-113868	über	*->115-1	non-literal-mwe[115]	
229-8	113869-113873	Bord	*->115-2	*[115]	
229-9	113874-113879	gehen	*->115-3	*[115]	
229-10	113880-113881	,	_	_	
229-11	113882-113887	haben	_	_	
229-12	113888-113894	einige	_	_	
229-13	113895-113909	Parlamentarier	_	_	
229-14	113910-113915	schon	_	_	
229-15	113916-113921	damit	_	_	
229-16	113922-113929	gedroht	_	_	
229-17	113930-113931	,	_	_	
229-18	113932-113935	die	_	_	
229-19	113936-113958	Wasserrahmenrichtlinie	_	_	
229-20	113959-113966	platzen	_	_	
229-21	113967-113969	zu	_	_	
229-22	113970-113976	lassen	_	_	
229-23	113977-113978	.	_	_	

